keyword,keyword_id,movie_id
"wish",4896,62177
"bear",10468,62177
"scot",14753,62177
"rebellious daughter",15161,62177
"turns into animal",41538,62177
"archery",53995,62177
"ruins",162715,62177
"aftercreditsstinger",179430,62177
"peace offering",181181,62177
"woman director",187056,62177
"courage",189098,62177
"3d",209714,62177
"sequel",9663,188927
"stranded",9743,188927
"hatred",158449,188927
"space opera",161176,188927
"romantic comedy",9799,10681
"ambassador",1704,5174
"civilization",2163,14161
"natural disaster",5096,14161
"end of the world",10150,14161
"disaster",10617,14161
"apocalypse",12332,14161
"destruction",14796,14161
"volcanic eruption",163398,14161
"mayan",208090,14161
"ark",230910,14161
"solar",232318,14161
"destruction  of mankind",232339,14161
"holiday",65,17979
"based on novel",818,17979
"victorian england",8250,17979
"money",10594,17979
"christmas eve",33965,17979
"scrooge",33966,17979
"christmas carol",161174,17979
"ghost",162846,17979
"lesson",170457,17979
"charles dickens",180975,17979
"christmas",207317,17979
"saving the world",83,411
"witch",616,411
"based on novel",818,411
"brother sister relationship",1155,411
"self sacrifice",1430,411
"winter",1442,411
"cupboard",1990,411
"beaver",2042,411
"lion",2043,411
"fairy-tale figure",6187,411
"battle",14643,411
"narnia",166930,411
"fantasy world",170362,411
"duringcreditsstinger",179431,411
"mutant",1852,246655
"supernatural powers",4769,246655
"marvel comic",8828,246655
"superhero",9715,246655
"based on comic book",9717,246655
"superhuman",10761,246655
"apocalypse",12332,246655
"superhero team",155030,246655
"world domination",176217,246655
"aftercreditsstinger",179430,246655
"1980s",208289,246655
"dc comics",849,155
"crime fighter",853,155
"secret identity",1308,155
"scarecrow",3151,155
"sadism",4426,155
"chaos",4630,155
"gotham city",6969,155
"vigilante",7002,155
"joker",9537,155
"superhero",9715,155
"based on comic book",9717,155
"tragic hero",10044,155
"organized crime",10291,155
"criminal mastermind",18023,155
"district attorney",33518,155
"imax",156395,155
"super villain",163074,155
"super powers",163455,155
"batman",230775,155
"age difference",965,14160
"central and south america",1291,14160
"balloon",9903,14160
"animation",10336,14160
"floating in the air",175715,14160
"duringcreditsstinger",179431,14160
"exploring",221536,14160
"alien",9951,15512
"giant robot",10891,15512
"duringcreditsstinger",179431,15512
"middle east",539,1726
"arms dealer",6163,1726
"malibu",8613,1726
"marvel comic",8828,1726
"superhero",9715,1726
"based on comic book",9717,1726
"tony stark",12555,1726
"iron man",173776,1726
"aftercreditsstinger",179430,1726
"marvel cinematic universe",180547,1726
"counter terrorism",208630,1726
"agent coulson",209756,1726
"library",295,44826
"clock",1507,44826
"film director",2793,44826
"key",2849,44826
"toy",4290,44826
"boy",5202,44826
"love",9673,44826
"orphan",13014,44826
"robot",14544,44826
"automaton",14545,44826
"hiding",18028,44826
"filmmaking",33490,44826
"leg brace",41372,44826
"doberman",156149,44826
"3d",209714,44826
"steampunk",10028,8487
"based on tv series",10988,8487
"steam locomotive",163671,8487
"drag",171636,8487
"dc comics",849,297761
"shared universe",1296,297761
"anti hero",2095,297761
"secret mission",3269,297761
"villain",3289,297761
"superhero",9715,297761
"supervillain",194404,297761
"dc extended universe",229266,297761
"father son relationship",494,2698
"daily life",1850,2698
"married couple",2587,2698
"support",3848,2698
"father",5905,2698
"marriage",6038,2698
"faith",6150,2698
"baustelle",6603,2698
"rescue",10084,2698
"animal",18165,2698
"nature",18330,2698
"duringcreditsstinger",179431,2698
"noah's ark",210450,2698
"deja vu",563,137113
"time warp",1521,137113
"restart",2062,137113
"dystopia",4565,137113
"war",6091,137113
"alien",9951,137113
"military officer",11109,137113
"soldier",13065,137113
"alien invasion",14909,137113
"exoskeleton",204318,137113
"ocean",270,9804
"tattoo",331,9804
"mutant",1852,9804
"water",4237,9804
"dystopia",4565,9804
"doomsday",34161,9804
"terrorist",949,14869
"secret",1328,14869
"hostage",1562,14869
"technology",1576,14869
"warhead",3467,14869
"government",6086,14869
"president",8570,14869
"revenge",9748,14869
"murder",9826,14869
"attack",10563,14869
"explosion",14601,14869
"scientist",14760,14869
"lasers",155551,14869
"evil",156075,14869
"cobra",191574,14869
"dream",1566,150540
"cartoon",6513,150540
"imaginary friend",7942,150540
"animation",10336,150540
"family",18035,150540
"moving",18253,150540
"kids",161155,150540
"unicorn",163227,150540
"duringcreditsstinger",179431,150540
"3d",209714,150540
"emotions",211269,150540
"based on novel",818,278927
"snake",1585,278927
"wolf",1994,278927
"elephant",2857,278927
"tiger",4809,278927
"feral child",5650,278927
"panther",8775,278927
"remake",9714,278927
"bear",10468,278927
"jungle",10787,278927
"talking animal",11477,278927
"orphan",13014,278927
"animal",18165,278927
"talking to animals",167625,278927
"malibu",8613,10138
"marvel comic",8828,10138
"superhero",9715,10138
"based on comic book",9717,10138
"revenge",9748,10138
"aftercreditsstinger",179430,10138
"marvel cinematic universe",180547,10138
"alternate history",12026,47933
"alien invasion",14909,47933
"queen",2011,58595
"magic",2343,58595
"fairy tale",3205,58595
"immortality",4978,58595
"forest",5774,58595
"deception",9758,58595
"woman",15184,58595
"eternal youth",161302,58595
"snow white",169341,58595
"evil queen",169343,58595
"evil stepmother",173003,58595
"imprisoned",181976,58595
"sorceress",199814,58595
"fairy tale",3205,102651
"villain",3289,102651
"sleeping beauty",7430,102651
"dark fantasy",177895,102651
"based on fairy tale",179411,102651
"adaptation",186846,102651
"retelling",186847,102651
"literary adaptation",186849,102651
"3d",209714,102651
"leader",3077,119450
"colony",4090,119450
"post-apocalyptic",4458,119450
"dystopia",4565,119450
"forest",5774,119450
"sequel",9663,119450
"woods",9720,119450
"ape",14759,119450
"scientist",14760,119450
"monkey",15149,119450
"medical research",158025,119450
"animal attack",158130,119450
"plague",188959,119450
"3d",209714,119450
"japan",233,64686
"suicide",236,64686
"samurai",1462,64686
"based on true story",9672,64686
"samurai sword",18098,64686
"ronin",155198,64686
"shogun",155242,64686
"half breed",183528,64686
"3d",209714,64686
"weather",3694,22794
"food",10637,22794
"science",156810,22794
"washington d.c.",521,100402
"future",2964,100402
"shield",5539,100402
"marvel comic",8828,100402
"superhero",9715,100402
"based on comic book",9717,100402
"captain america",173775,100402
"aftercreditsstinger",179430,100402
"duringcreditsstinger",179431,100402
"marvel cinematic universe",180547,100402
"3d",209714,100402
"political thriller",209817,100402
"ogre",189111,10192
"3d",209714,10192
"inventor",1436,158852
"apocalypse",12332,158852
"destiny",40850,158852
"imax",156395,158852
"dreamer",173276,158852
"futuristic car",214714,158852
"futuristic city",214715,158852
"brother brother relationship",380,177572
"hero",1701,177572
"talent",2276,177572
"revenge",9748,177572
"best friend",12392,177572
"another dimension",12446,177572
"robot",14544,177572
"boy genius",33353,177572
"hate",41509,177572
"aftercreditsstinger",179430,177572
"moral dilemma",198423,177572
"3d",209714,177572
"teen superheroes",213104,177572
"dead brother",215235,177572
"support group",825,82690
"product placement",3977,82690
"bullying",6733,82690
"racing",10039,82690
"arcade",10547,82690
"medal",11124,82690
"self esteem",155023,82690
"curiosity",158023,82690
"precocious child",162936,82690
"aftercreditsstinger",179430,82690
"duringcreditsstinger",179431,82690
"first person shooter",185859,82690
"glitch",185861,82690
"carefree",185863,82690
"video gamer",185867,82690
"q*bert",185868,82690
"interrupted wedding",185876,82690
"social reject",185880,82690
"santa claus",1991,5255
"nerd",5801,5255
"faith",6150,5255
"gift",9989,5255
"bell",9995,5255
"beard",33678,5255
"north pole",34154,5255
"chute",41312,5255
"trestle",41314,5255
"ticket",48711,5255
"christmas",207317,5255
"flying",334,10191
"blacksmith",1318,10191
"arena",1395,10191
"island",2041,10191
"night",3752,10191
"ship",3799,10191
"training",4613,10191
"village",5331,10191
"forest",5774,10191
"viking",5895,10191
"friendship",6054,10191
"ignorance",6253,10191
"flight",8044,10191
"nest",9109,10191
"dragon",12554,10191
"battle",14643,10191
"combat",18543,10191
"well",172784,10191
"warrior",192913,10191
"saving the world",83,296
"artificial intelligence",310,296
"man vs machine",312,296
"cyborg",679,296
"killer robot",1373,296
"sun glasses",1381,296
"leather jacket",2650,296
"nanotechnology",2651,296
"rocket launcher",2732,296
"firemen",2733,296
"veterinarian",2735,296
"fire engine",2736,296
"dystopia",4565,296
"psychiatrist",15106,296
"marvel comic",8828,118340
"spaceship",9831,118340
"space",9882,118340
"outer space",12405,118340
"orphan",13014,118340
"adventurer",175428,118340
"aftercreditsstinger",179430,118340
"duringcreditsstinger",179431,118340
"marvel cinematic universe",180547,118340
"saving the world",83,157336
"artificial intelligence",310,157336
"father son relationship",494,157336
"single parent",641,157336
"nasa",1432,157336
"expedition",1963,157336
"wormhole",3417,157336
"space travel",3801,157336
"famine",4337,157336
"black hole",4380,157336
"dystopia",4565,157336
"race against time",4776,157336
"quantum mechanics",8056,157336
"spaceship",9831,157336
"space",9882,157336
"rescue",10084,157336
"family relationships",10235,157336
"farmhouse",13127,157336
"robot",14544,157336
"astronaut",14626,157336
"scientist",14760,157336
"father daughter relationship",15300,157336
"single father",33479,157336
"farmer",154846,157336
"space station",156039,157336
"imax",156395,157336
"astrophysics",160331,157336
"zero gravity",162630,157336
"courage",189098,157336
"time paradox",208757,157336
"relativity",214349,157336
"loss of lover",1014,27205
"dream",1566,27205
"kidnapping",1930,27205
"sleep",2116,27205
"subconsciousness",2117,27205
"heist",10051,27205
"redemption",11436,27205
"female hero",160137,27205
"biography",5565,365222
"monster",1299,315011
"godzilla",7671,315011
"giant monster",11100,315011
"destruction",14796,315011
"kaiju",161791,315011
"toyko",235525,315011
"riddle",483,49051
"elves",603,49051
"dwarves",604,49051
"orcs",606,49051
"middle-earth (tolkien)",609,49051
"hobbit",611,49051
"mountains",1262,49051
"wizard",177912,49051
"journey",189092,49051
"ring",189093,49051
"goblin",189094,49051
"courage",189098,49051
"giant",189099,49051
"tunnel",189102,49051
"underground lake",189103,49051
"buried treasure",189108,49051
"climbing a tree",189114,49051
"invisibility",189115,49051
"ancient",189119,49051
"gnomes",191739,49051
"street gang",542,9799
"car race",830,9799
"undercover",1568,9799
"auto-tuning",8574,9799
"los angeles",12670,9799
"car",33885,9799
"automobile racing",159953,9799
"aftercreditsstinger",179430,9799
"duringcreditsstinger",179431,9799
"diary",2913,4922
"navy",3588,4922
"funeral",3739,4922
"tea",4262,4922
"travel",9935,4922
"hospital",11612,4922
"cia",591,49538
"mutant",1852,49538
"mine",1960,49538
"marvel comic",8828,49538
"superhero",9715,49538
"based on comic book",9717,49538
"superhuman",10761,49538
"historical fiction",12995,49538
"nuclear war",18139,49538
"cuban missile crisis",181558,49538
"world war iii",208731,49538
"1960s",208992,49538
"owl",3905,41216
"revolution",2020,131634
"strong woman",2660,131634
"dystopia",4565,131634
"game of death",157376,131634
"3d",209714,131634
"based on young adult novel",223438,131634
"witch",616,27022
"fire",657,27022
"wolf",1994,27022
"fountain",2098,27022
"magic",2343,27022
"book",3096,27022
"castle",3098,27022
"water",4237,27022
"apprentice",4488,27022
"training",4613,27022
"merlin",8504,27022
"love",9673,27022
"mission",10364,27022
"sorcerer",10821,27022
"dragon",12554,27022
"aftercreditsstinger",179430,27022
"apprendista",193201,27022
"morgana",222347,27022
"new year's eve",613,503
"fire",657,503
"drowning",793,503
"cataclysm",843,503
"loss of father",1872,503
"atlantic ocean",1913,503
"ball",2283,503
"self-abandonment",2488,503
"shipwreck",2580,503
"giant wave",2581,503
"blackout",2583,503
"ship",3799,503
"daughter",5600,503
"single",9457,503
"escape",10685,503
"capsized ship",155530,503
"based on novel",818,241259
"clock",1507,241259
"queen",2011,241259
"sequel",9663,241259
"alice in wonderland",12552,241259
"dark fantasy",177895,241259
"mad hatter",203699,241259
"3d",209714,241259
"ambush",502,810
"sadness",1647,810
"stage",1674,810
"liberation of prisoners",2019,810
"island",2041,810
"traitor",2052,810
"shipwreck",2580,810
"prince",3071,810
"ship",3799,810
"donkey",4144,810
"kingdom",4152,810
"theatre play",4326,810
"transformation",4375,810
"conciliation",4541,810
"tricks",4988,810
"heir to the throne",5515,810
"assault",6093,810
"boarding school",6271,810
"coup d'etat",6285,810
"teacher",10508,810
"best friend",12392,810
"dragon",12554,810
"cowardliness",13001,810
"pregnancy",13149,810
"capture",156702,810
"duringcreditsstinger",179431,810
"gay",237,10806
"homophobia",1013,10806
"coming out",1862,10806
"lgbt",158718,10806
"video game",282,68735
"elves",603,68735
"orcs",606,68735
"magic",2343,68735
"chase",3713,68735
"based on comic book",9717,68735
"sorcerer",10821,68735
"fictional war",14946,68735
"based on video game",41645,68735
"wizard",177912,68735
"fictional language",189113,68735
"muscles",211674,68735
"orc",228295,68735
"sword and sorcery",234213,68735
"saving the world",83,87101
"artificial intelligence",310,87101
"cyborg",679,87101
"killer robot",1373,87101
"future",2964,87101
"time travel",4379,87101
"dystopia",4565,87101
"sequel",9663,87101
"fiction",161151,87101
"duringcreditsstinger",179431,87101
"3d",209714,87101
"based on novel",818,10140
"magic",2343,10140
"good vs evil",10842,10140
"king",13084,10140
"narnia",166930,10140
"fantasy world",170362,10140
"knife held to throat",182768,10140
"snowing",182772,10140
"quest",207372,10140
"nurse",428,676
"patriotism",1627,676
"hawaii",1668,676
"world war ii",1956,676
"pilot",3203,676
"pearl harbor",3365,676
"u.s. air force",3366,676
"airplane",3800,676
"war",6091,676
"army",6092,676
"love",9673,676
"pin-up",155565,676
"destroy",2535,1858
"transformation",4375,1858
"alien",9951,1858
"based on toy",10542,1858
"transformers",10607,1858
"robot",14544,1858
"duringcreditsstinger",179431,1858
"teenage hero",188178,1858
"holiday",65,8871
"christmas party",1441,8871
"new love",1605,8871
"santa claus",1991,8871
"village",5331,8871
"kids and family",9963,8871
"aristotle",347,1966
"egypt",1160,1966
"greece",1200,1966
"persia",1241,1966
"elephant",2857,1966
"campaign",3072,1966
"alexander the great",5127,1966
"homosexuality",10180,1966
"gay relationship",10198,1966
